Fecha,Hora,IP origen,IP destino,Job S7comm,Cod. Funcion S7comm,DB Req,Response Data
Apr  6, 2022 11:57:26.766822000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:28.052040000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:28.056074000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:28.056085000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:29.265621000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:29.267493000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:29.267531000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:30.554288000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:30.556430000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:30.556444000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.359800000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.359990000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 11:57:31.361385000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 11:57:31.361397000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.369752000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.369989000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 11:57:31.370009000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.370158000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.371256000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 11:57:31.371272000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.371452000 EDT,192.168.0.142,192.168.0.64,1,0x000000f0,,
Apr  6, 2022 11:57:31.386642000 EDT,192.168.0.64,192.168.0.142,3,0x000000f0,,
Apr  6, 2022 11:57:31.386660000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.389356000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:31.392140000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:31.392160000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:31.766791000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:31.768847000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:31.768859000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:33.891476000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:33.894609000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:33.894628000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:34.268049000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
